商品名称,价格,地区,销量,评论数,商品链接,图片
【20点再省200元抢5折 抢先加购】vivo iQOO 8骁龙888芯120W闪充5G正品智能游戏手机爱酷官方旗舰店vivoiqoo8,3699.00,广东,3000,12630,https://detail.tmall.com/item.htm?id=652264647086&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/883737303/O1CN01uhJntS23opEOCemBq_!!0-item_pic.jpg
【移动用户专享至高450】vivo iqoo u5 5g手机中国移动官旗iqoou5 vivou5iqoou3 vivo官方旗舰店,1329.00,浙江,3000,2058,https://detail.tmall.com/item.htm?id=669115907519&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN010a6lwu1xKF5YQfNV9_!!0-item_pic.jpg
HONOR/荣耀X30 5G手机66W快充4800mAh大电池高清影像旗舰店新品智能全面屏学生拍照音乐电竞游戏安卓,1399.00,广东,3000,2540,https://detail.tmall.com/item.htm?id=664267341259&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1114511827/O1CN01gX5UH11PMoNJPqhaB_!!0-item_pic.jpg
官方旗舰店正品飞利浦全网通4G老人机大字大声大屏超长待机老年手机男女款电信版按键学生备用功能机1617,138.00,浙江,3000,2332,https://detail.tmall.com/item.htm?id=665035360234&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2616970884/O1CN01ikB9L71IOuroMcEf0_!!0-item_pic.jpg
【移动用户专享 抢先收藏 全国联保1年】iPhone 13 5G手机苹果13手机官方旗舰店iphone13正品苹果苹果13,5999.00,广东,3000,1465,https://detail.tmall.com/item.htm?id=655406333042&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/713805254/O1CN01hAwUF11ogNgu23yA5_!!0-item_pic.jpg
【立即抢购】小米红米Note 11 SE新品5G游戏拍照智能手机5000mAh官网小米官方旗舰店note11,999.00,北京,3000,555,https://detail.tmall.com/item.htm?id=673657654017&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01oQQptj29zFwZQ70UN_!!0-item_pic.jpg
【至高立省300元 立即抢购】小米11 5g骁龙888旗舰2K屏幕智能全面屏小米手机红米安卓小米官方旗舰店,3499.00,北京,3000,51495,https://detail.tmall.com/item.htm?id=634228151538&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01TXOz8329zFwqVrGjp_!!0-item_pic.jpg
【4G全网通】关爱心A9翻盖老人机超长待机老年手机电信版超强信号一键拨号大屏大字大声音女学生官方旗舰正品,138.00,江苏,3000,3417,https://detail.tmall.com/item.htm?id=669658582467&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2616970884/O1CN01KdlxoB1IOusSAUe0G_!!0-item_pic.jpg
【立省500 库存有限】vivo iQOO Neo5活力版高通骁龙870 5g游戏爱酷智能新品手机官方旗舰店iqooneo5 iq00,2499.00,广东,3000,34777,https://detail.tmall.com/item.htm?id=644089613237&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/883737303/O1CN01fGNnkx23opEVZjJJR_!!0-item_pic.jpg
【6期免息 至高立减50元】vivo Y72t新品全面屏游戏拍照学生5G智能手机大电池官方旗舰店正品vivoy55s,1399.00,广东,3000,558,https://detail.tmall.com/item.htm?id=675281683089&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1yPCA6h1K9v9GAkvGQ_!!2207440821122-0-psf.jpg
【官方旗舰店】4G全网通关爱心正品老年手机超长待机老人机大屏幕大字大声音男女士学生专用非智能按键,148.00,江苏,3000,2862,https://detail.tmall.com/item.htm?id=671321482927&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2616970884/O1CN01o5kiHU1IOusNpyt72_!!0-item_pic.jpg
【前5名赠小米背包】红米Note9 5G手机xiaomi红米小米官方旗舰店红米note9pro全网通5g正品note9,1299.00,广东,2000,818,https://detail.tmall.com/item.htm?id=633165767202&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/1710936647/O1CN01F8Bih21yyNPib8JJQ_!!0-item_pic.jpg
【现货速发】xiaomi/小米红米9A 大电池老年人智能手机官方旗舰官网店8正品redmi便宜10老人千元学生系列,619.00,广东,2000,4658,https://detail.tmall.com/item.htm?id=629003021741&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1666576242/O1CN01v58Mjt1vyt0WGw5PU_!!0-item_pic.jpg
【下单立减800元 抢先收藏+移动用户专享优惠！】苹果13 Pro手机iPhone 13 Pro苹果手机官方旗舰iphone13Pro,7999.00,广东,2000,3379,https://detail.tmall.com/item.htm?id=656171911308&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/713805254/O1CN015T6lkh1ogNh2c43uR_!!0-item_pic.jpg
移动用户专享250红米Note 11T Pro中国移动官旗新品拍照智能游戏5G手机正品小米官方旗舰店note11官网正品,1999.00,浙江,2000,340,https://detail.tmall.com/item.htm?id=675129290166&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1776456424/O1CN01QC7SLX1xKF5dZQWo4_!!0-item_pic.jpg
【官方旗舰店】纽曼W69双屏4G全网通翻盖手机老人机老年手机大屏大字大声学生男女士商务超长待机按键非智能,199.00,广东,2000,3562,https://detail.tmall.com/item.htm?id=657778160509&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1688913659/O1CN01EdpOEU1ctrxbqWvCA_!!0-item_pic.jpg
【下单享6期免息】OPPO A96 大内存大电池新品5G学生手机 小星环 呼吸灯 双子星环 OPPO官方旗舰店oppoa96,1599.00,广东,2000,3293,https://detail.tmall.com/item.htm?id=665402654795&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/901409638/O1CN01dkTZ1I2L4G2xQ30oC_!!0-item_pic.jpg
【天玑1100处理器】小米/Redmi Note 10 Pro 5G智能红米手机学生拍照游戏官方旗舰店红米官方旗舰店官网,1499.00,北京,2000,56868,https://detail.tmall.com/item.htm?id=643131629762&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1714128138/O1CN011tF7Mh29zFwo3BBfS_!!0-item_pic.jpg
【3期免息 至高立减200元】vivo T1新款高通骁龙778G学生大电池时尚正品拍照智能分期5G游戏vivo t1,1799.00,广东,2000,5820,https://detail.tmall.com/item.htm?id=656240627625&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1qO5OFM1K9v9Di2t0G_!!2207440821122-0-psf.jpg
【立即抢购 购机享24期免息】小米11Ultra小米115g手机智能拍照游戏小米官方旗舰店红米小米安卓,3999.00,北京,2000,12562,https://detail.tmall.com/item.htm?id=639769508905&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01s1zC6d29zFwnxCz3R_!!0-item_pic.jpg
【加赠99元胶囊耳机】Xiaomi/Redmi小米红米Note 11T Pro+新品天玑8100处理器手机官方旗舰店note11,2099.00,北京,2000,974,https://detail.tmall.com/item.htm?id=674259867553&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01EL7Uyv29zFwriiGJK_!!0-item_pic.jpg
【下单优惠100元】OPPO A32 大电池大内存快充正品拍照手机 OPPO手机官方旗舰店 oppoa32 智能老人,899.00,广东,2000,0,https://detail.tmall.com/item.htm?id=627146227332&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/901409638/O1CN01AX7IRy2L4G2sEPbRj_!!0-item_pic.jpg
[送座充] 纽曼 M6老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音按键直板功能女学生,148.00,广东,2000,5171,https://detail.tmall.com/item.htm?id=644480102843&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3357872061/O1CN0155AE1S1R5yzLkkEmb_!!0-item_pic.jpg
【30日20点抢五折】摩托罗拉 moto edge S30骁龙888plus旗舰5G 一亿像素5000mAh大电池144Hz高刷,2199.00,北京,2000,5214,https://detail.tmall.com/item.htm?id=662489744322&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2380534912/O1CN01PX7Nsn1m9kEtWMs2t_!!0-item_pic.jpg
【24期免息 晒单赠双肩包】vivoS15 Pro拍照智能天玑8100游戏学生5G旗舰手机正品官方旗舰店S12pro新款,3399.00,广东,2000,1336,https://detail.tmall.com/item.htm?id=673649496316&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1NYxpoX1K9v9Di31JS_!!2207440821122-0-psf.jpg
【抢先收藏 全国联保1年 移动用户专享】苹果13手机iPhone13苹果手机官方旗舰苹果5G新品苹果13国行正品,5999.00,广东,2000,1172,https://detail.tmall.com/item.htm?id=656726430640&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/713805254/O1CN01H1ucz41ogNh3r8Hvw_!!0-item_pic.jpg
移动用户专享900送67W充电器Xiaomi小米12X 5g手机中国移动官旗骁龙870旗舰智能全面屏小米12x小米官方旗舰店,3799.00,浙江,2000,2095,https://detail.tmall.com/item.htm?id=666209810080&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1776456424/O1CN01HFbS7H1xKF5grOzQz_!!0-item_pic.jpg
【12期免息 至高省500】OnePlus/一加10 Pro 5g享OPPO售后安卓骁龙电竞游戏旗舰智能手机官方旗舰店官网正品,4199.00,广东,2000,5880,https://detail.tmall.com/item.htm?id=664621712649&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2256022143/O1CN01UWt8kU1RhXX2uN5FG_!!0-item_pic.jpg
【至高立减430元+移动用户专享】OPPO k9X 5G新款oppok9x oppo手机官方旗舰店0ppo 5g全网通智能拍照游戏,1349.00,广东,2000,580,https://detail.tmall.com/item.htm?id=665262106496&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/713805254/O1CN01akDW6P1ogNgxBbpV2_!!0-item_pic.jpg
【顺丰速发+至高可减500】小米Redmi k50pro 5G手机红米K50 Pro电竞版Xiaomi官方官网旗舰店K40系列ultra K40,2949.00,北京,2000,545,https://detail.tmall.com/item.htm?id=670166746078&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2201438992231/O1CN01NwTDX21SLqNy6luNT_!!0-item_pic.jpg
【官方正品/全国联保】小米Redmi 红米K50 Pro 天玑9000手机5G小米k50官方旗舰店正品官网红米k50 pro,2999.00,上海,2000,471,https://detail.tmall.com/item.htm?id=674698715636&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/686947088/O1CN01OZk8aA22EM4qbr9u5_!!0-item_pic.jpg
HONOR/荣耀Magic4 Pro 5G手机高通骁龙8芯片 潜望长焦摄像头 高频高刷曲面屏官方旗舰店官网正品商务游戏拍照,5499.00,广东,2000,2692,https://detail.tmall.com/item.htm?id=668845632878&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1114511827/O1CN01rfKQAP1PMoNHtx8uL_!!0-item_pic.jpg
【立减800元 抢先收藏+移动用户专享优惠！】苹果13 ProMax苹果新品苹果官方旗舰店手机13promax全国联保,8999.00,广东,2000,4096,https://detail.tmall.com/item.htm?id=655408593076&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/713805254/O1CN01TslIYg1ogNgu26zQX_!!0-item_pic.jpg
【24期免息 晒单赠闪充套装】vivo X80 Pro新款旗舰手机高通骁龙8蔡司拍照智能5G游戏全面屏官方旗舰店官网,5499.00,广东,2000,3248,https://detail.tmall.com/item.htm?id=670819897157&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2207440821122/O1CN01b6VmZU1K9v9KGhszU_!!0-item_pic.jpg
【领88券可减100元 赠碎屏险+壳膜】Apple/苹果iPhone 13全网通5G手机原装国行苹果13手机中国电信官网旗舰店,5999.00,江苏,2000,618,https://detail.tmall.com/item.htm?id=629984213211&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/751075004/O1CN01vUVhMK1mpsg87Ywjz_!!0-item_pic.jpg
【官旗】诺基亚105 4G全网通老年老人手机按键大字大声电信学生戒网儿童功能备用老人机老年机官方旗舰店,199.00,天津,2000,6016,https://detail.tmall.com/item.htm?id=649261941250&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/3367335567/O1CN01nRb1ce1qzjezKHjsV_!!0-item_pic.jpg
纽曼 L66移动联通电信版老人手机老年手机超长待机直板按键大屏大字大声超长待机男女学生4G全网通功能机,75.00,广东,2000,8291,https://detail.tmall.com/item.htm?id=600167608391&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1688913659/O1CN01U4Kjgo1ctrwYAUwhf_!!0-item_pic.jpg
HONOR/荣耀Play5T 4G手机5000mAh大电池22.5W快充新款官方旗舰店正品学生游戏拍照备用商务智能6T,1099.00,广东,2000,29573,https://detail.tmall.com/item.htm?id=644439501338&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01YLZpK31PMoNK37I61_!!0-item_pic.jpg
【官方旗舰店】金立V3翻盖老年机正品超长待机老人手机一键拨号大屏大字大声音电信4G全网通男女商务老人机,138.00,广东,2000,821,https://detail.tmall.com/item.htm?id=672083743389&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2209781585439/O1CN0120E2OG1q36wnQgCAl_!!0-item_pic.jpg
HONOR/荣耀70 5G智能手机 行业首发IMX800三主摄 Vlog主角模式拍摄 前后双曲屏 66W超级快充 官方旗舰店官网,2699.00,广东,2000,564,https://detail.tmall.com/item.htm?id=674733267478&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01YugOuu1PMoNHyqSIA_!!0-item_pic.jpg
【立省100】真我Q5 新机60W智慧闪充5000mAh大电池6nm骁龙5G芯学生游戏智能老人realmeq5,1399.00,广东,2000,635,https://detail.tmall.com/item.htm?id=672834539246&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01shwtNS1y42hGM6wCk_!!0-item_pic.jpg
【官方正品/满减190】小米 Redmi 红米Note9 5G手机官方旗舰店官网11pro+正品k40新款4g直降系列10s千元,1099.00,上海,1000,642,https://detail.tmall.com/item.htm?id=632171346266&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/686947088/O1CN01Dhyj0Y22EM4yibODu_!!0-item_pic.jpg
当天发/送豪华礼 荣耀X30 12+256G 5G手机超级快充大屏拍照智能华5g 为手机官方旗舰手机店官网正品X30i max,1349.00,广东,1000,385,https://detail.tmall.com/item.htm?id=673545801638&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/909410026/O1CN013gaP0v1C3x3TDom05_!!0-item_pic.jpg
【购机优惠200元】OPPO K9s 智能拍照5g手机全面屏游戏手机排行榜oppo官方旗舰店正品官网学生机oppok9s,1399.00,广东,1000,2650,https://detail.tmall.com/item.htm?id=657224659177&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/901409638/O1CN014kRKht2L4G2u8YEdU_!!0-item_pic.jpg
【送充电器套装】小米12X 骁龙870旗舰处理器5G手机小米官方旗舰店正品官网新品新款xiaomi 12x拍照游戏,3799.00,广东,1000,400,https://detail.tmall.com/item.htm?id=665906212502&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/713805254/O1CN01XPu2gk1ogNgzZuqiP_!!0-item_pic.jpg
【至高优惠200元】OPPO K10 Pro 5G智能拍照手机全面屏新款电竞游戏oppo手机官网旗舰店官方正品oppok10pro,2599.00,广东,1000,1264,https://detail.tmall.com/item.htm?id=671949000055&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN01hYWF522L4G33arvKZ_!!0-item_pic.jpg
朵唯V9迷你学生手机戒网瘾专用非智能男女备用超薄超小全网通儿童初中生高中生老人机只可以打电话卡片小,88.00,广东,1000,8708,https://detail.tmall.com/item.htm?id=630583315425&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1793651541/O1CN019KNyen1NFoy9VkPHK_!!0-item_pic.jpg
【6G版降300 指定整点赢耳机】vivo iQOO U5新品手机千元5G游戏学生老人大电池智能iq00官方旗舰店vivoiqoou5,1349.00,广东,1000,1573,https://detail.tmall.com/item.htm?id=663721536216&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/883737303/O1CN010N47sj23opESjKcfc_!!0-item_pic.jpg
【NEKEN官方旗舰店】4G全网通正品老人机超长待机三防直板老年手机大屏大字大声移动联通电信版按键智能,69.00,广东,1000,31172,https://detail.tmall.com/item.htm?id=537659955795&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1793270189/O1CN01PyqtFb1DGbbehehNw_!!0-item_pic.jpg
【享24期免息】OPPO Find X5 Pro智能游戏拍照全面屏5g学生手机oppo手机旗舰店官方新品oppofindx5 x3,5199.00,广东,1000,2179,https://detail.tmall.com/item.htm?id=667038156568&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN01i6fMZr2L4G2zy3bmd_!!0-item_pic.jpg
HONOR/荣耀畅玩30 Plus 5G手机5000mAh大电池22.5W超级快充新品官方旗舰店正品学生老人机全面屏游戏,1099.00,广东,1000,2723,https://detail.tmall.com/item.htm?id=663625312179&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01nMkOpS1PMoNLOhrqv_!!0-item_pic.jpg
【赠充电器】HUAWEI/华为 P50E 新款华为智能手机全网通全面屏66W超级快充HarmonyOS2华为官方旗舰店,4088.00,广东,1000,1360,https://detail.tmall.com/item.htm?id=669872206854&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2838892713/O1CN01w7Er5x1VubI2Xr8yV_!!0-item_pic.jpg
【12期免息 会员赠半年延保】vivo S15e大内存66W闪充拍照游戏电竞智能学生正品5G手机 官方旗舰店S12,1999.00,广东,1000,1127,https://detail.tmall.com/item.htm?id=673006651686&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1ZlDuMS1K9v9ISKYID_!!2207440821122-0-psf.jpg
Xiaomi/小米 Redmi 红米Note9 5G手机官方旗舰店官网11pro+正品k40新款4g直降系列10s,1299.00,广东,1000,375,https://detail.tmall.com/item.htm?id=659898095105&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/713805254/O1CN01iYwEGo1ogNh1wmZ3c_!!0-item_pic.jpg
vivo iQOO Z5 新款旗舰5G手机vivoz5 iqooz5 iq00z5 vivoz5手机 ipooz5 iqqoz5 iq5 iooqz5 vivo 爱酷z5,1599.00,江苏,1000,2347,https://detail.tmall.com/item.htm?id=655359809691&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1637289231/O1CN01F9c2el2I3qqaODDZ2_!!0-item_pic.jpg
13年老店 Apple/苹果 iPhone 13pro苹果13 minipromax 5G苹果手机,3980.00,广东,1000,417,https://item.taobao.com/item.htm?id=662845914681&ns=1&abbucket=1#detail,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/201522459/O1CN01xMlcP51U2GdMI9e8J_!!201522459.jpg
xiaomi小米/移动用户专享/红米Note10 5G手机官方旗舰店note9系列官网正品Redmi新款红米,1099.00,广东,1000,2135,https://detail.tmall.com/item.htm?id=645761790020&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/713805254/O1CN01scrUKC1ogNh2YpmVJ_!!0-item_pic.jpg
【至高省600】真我GT大师探索版高通骁龙870三星屏65W智慧闪充拍照学生游戏手机智能官方正品,2999.00,广东,1000,23967,https://detail.tmall.com/item.htm?id=649433236794&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01KACfUZ1y42hIIVUnQ_!!0-item_pic.jpg
【3期免息 满减400元】小米/Redmi 红米K50 Pro 天玑9000手机K50全网通小米官方旗舰店红米K50pro官网正品,2849.00,广东,1000,592,https://detail.tmall.com/item.htm?id=670519499429&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1710936647/O1CN01eve1071yyNPbvZNys_!!0-item_pic.jpg
华为老人机大屏大字全网通4G移动老年手机超长待机大声音联通电信,118.00,广东,1000,964,https://item.taobao.com/item.htm?id=673989073517&ns=1&abbucket=1#detail,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2209136126760/O1CN01NvcGv81zo8A0zbaku_!!2209136126760.jpg
【官网价直降800 赠碎屏险+壳膜】Apple/苹果iPhone 13全网通5G手机原装国行苹果13手机中国电信官网旗舰店,5999.00,江苏,1000,590,https://detail.tmall.com/item.htm?id=662064433355&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/751075004/O1CN01lR9LYh1mpsfwlQxpz_!!0-item_pic.jpg
【移动用户专享立减550】vivo iqoo z5x新品5g手机 中国移动官旗 正品vivo手机iqooz5x vivo,1839.00,浙江,1000,410,https://detail.tmall.com/item.htm?id=658513048038&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN010HmBiO1xKF5dlH73n_!!0-item_pic.jpg
Apple/苹果 iPhone 13 Pro Max国行正品13pro新款苹果13手机分期,4700.00,广东,1000,186,https://item.taobao.com/item.htm?id=676308635233&ns=1&abbucket=1#detail,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3541553921/O1CN010GPKS21eprjqg17Zx_!!0-item_pic.jpg
【至高省400】realme真我GT2 骁龙888索尼IMX766主摄120Hz畅速屏65W智慧闪充智能游戏拍照,2599.00,广东,1000,2779,https://detail.tmall.com/item.htm?id=664469043665&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2200766936524/O1CN01J3qTjJ1y42h9xBLct_!!0-item_pic.jpg
[6期免息+立省700+赠充电器]meizu魅族18X高通骁龙870智能5G手机直面屏幕120Hz拍照游戏音乐官方旗舰店正品,2599.00,广东,1000,1797,https://detail.tmall.com/item.htm?id=654275716194&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1695308781/O1CN01Cb4DuO2EjkcTkohKG_!!0-item_pic.jpg
【4G全网通】索爱SA-Z9C翻盖老人手机大音量大屏幕大字大声老年机非智能超长待机支持联通电信按键机正品1336,169.00,江苏,1000,793,https://detail.tmall.com/item.htm?id=671961312568&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2616970884/O1CN01LtZpmm1IOusybqCpz_!!0-item_pic.jpg
vivo iQOO Z5全新5g手机vivoiqooz5vivoz5手机iqooz5 iqz5 iq00z5vovoz5 z5x z3限量版 viviz5vivo官方官网店,1399.00,广东,1000,555,https://detail.tmall.com/item.htm?id=655737082616&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/1824502713/O1CN01ULaKg41VubID0CHrA_!!0-item_pic.jpg
HONOR/荣耀70 Pro+ 5G智能手机 行业首发IMX800三主摄 Vlog主角模式拍摄 搭载天玑9000旗舰芯片 100W超级快充,4299.00,广东,1000,381,https://detail.tmall.com/item.htm?id=674734343442&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01tlzytb1PMoNRJ3m34_!!0-item_pic.jpg
纽曼K30老年手机超长待机正品4G全网通老人机大屏大字大声音电信版女士学生款专用高中生按键智能【1052】,109.00,浙江,1000,1763,https://detail.tmall.com/item.htm?id=665394792729&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2616970884/O1CN01ucqYme1IOurAbaRN9_!!0-item_pic.jpg
HONOR/荣耀60 SE 5G智能手机120Hz曲面屏手机新款官方旗舰店官网正品学生拍照智能机高刷新率轻薄商务50,1999.00,广东,1000,2657,https://detail.tmall.com/item.htm?id=667568077242&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01b3qUml1PMoNQM8GXx_!!0-item_pic.jpg
【享24期免息】OPPO Find X5 智能游戏拍照全面屏5g手机oppo手机旗舰店新款官方正品oppofindx5,3999.00,广东,1000,2170,https://detail.tmall.com/item.htm?id=667780670072&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/901409638/O1CN01YqoGbu2L4G2yjBntG_!!0-item_pic.jpg
【下单送双肩包】Xiaomi/小米 红米Redmi K40S 5G手机官方旗舰店新款k40s游戏增强版学生小米,2199.00,广东,1000,317,https://detail.tmall.com/item.htm?id=670766870193&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/713805254/O1CN015y66Oh1ogNguS8cia_!!0-item_pic.jpg
【至高省500 库存有限速抢】vivo iQOO Neo5高通骁龙870 5g游戏新品爱酷手机官方旗舰店iqooneo iq00neo5,2699.00,广东,1000,66706,https://detail.tmall.com/item.htm?id=639142927098&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/883737303/O1CN01culZfi23opEMzYgDi_!!0-item_pic.jpg
移动用户专享420元Redmi红米Note 10 5G小米手机中国移动官旗note10智能5g手机红米note10正品小米官方旗舰店,1399.00,浙江,1000,1446,https://detail.tmall.com/item.htm?id=645168216969&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN01jGT6jl1xKF5WHQgYJ_!!0-item_pic.jpg
【抢6台5折 至高省500赢双肩包】vivo iQOO Z5骁龙长续航学生闪充游戏5g大电池手机爱酷官方旗舰店vivoiqooz5,1849.00,广东,1000,4025,https://detail.tmall.com/item.htm?id=655209081932&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/883737303/O1CN01B0ue0q23opEXTjfz5_!!0-item_pic.jpg
【4g全网通】诺基亚215老年老人手机直板超长待机声音大电信学生备用老人机老年机经典官方旗舰店,269.00,天津,1000,8343,https://detail.tmall.com/item.htm?id=628613232678&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/3367335567/O1CN01YAmOXI1qzjf9D5Giq_!!0-item_pic.jpg
【至高立减200 会员赠耳机】vivo Y55s全网通游戏拍照学生5G智能手机大电池vivo手机官方旗舰店vivoy55s,1299.00,广东,1000,2332,https://detail.tmall.com/item.htm?id=662930925322&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1cwquLy1K9v9GAyp1p_!!2207440821122-0-psf.jpg
当天发货【送好礼】iPhone/苹果13 5G手机 苹果官方旗舰店国行正品MINI官网直降max24期分期12pro,5198.00,广东,1000,1284,https://detail.tmall.com/item.htm?id=656856227462&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2215302589/O1CN01xdz6iG1UzoB02tFo5_!!0-item_pic.jpg
